Datetime,Pressure,Atmosphere,Altitude,Tbm,Tds
2016-03-27 10:13:49,101128,0.9981,16.41,25.5,27.5
2016-03-27 10:13:50,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:13:51,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:13:52,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:13:53,101140,0.9982,15.41,25.6,27.5
2016-03-27 10:13:54,101131,0.9981,16.16,25.6,27.5
2016-03-27 10:13:55,101137,0.9981,15.66,25.6,27.5
2016-03-27 10:13:56,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:13:57,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:13:58,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:13:59,101134,0.9981,15.91,25.6,27.5
2016-03-27 10:14:00,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:01,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:14:02,101151,0.9983,14.50,25.5,27.5
2016-03-27 10:14:03,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:14:04,101142,0.9982,15.25,25.6,27.5
2016-03-27 10:14:05,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:06,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:14:07,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:14:08,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:14:09,101142,0.9982,15.25,25.6,27.5
2016-03-27 10:14:10,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:14:11,101142,0.9982,15.25,25.5,27.5
2016-03-27 10:14:13,101142,0.9982,15.25,25.5,27.5
2016-03-27 10:14:14,101131,0.9981,16.16,25.6,27.5
2016-03-27 10:14:15,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:16,101128,0.9981,16.41,25.5,27.5
2016-03-27 10:14:17,101145,0.9982,15.00,25.6,27.5
2016-03-27 10:14:18,101137,0.9981,15.66,25.6,27.5
2016-03-27 10:14:19,101145,0.9982,15.00,25.6,27.5
2016-03-27 10:14:20,101148,0.9983,14.74,25.6,27.5
2016-03-27 10:14:21,101148,0.9983,14.74,25.5,27.5
2016-03-27 10:14:22,101140,0.9982,15.41,25.6,27.5
2016-03-27 10:14:23,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:24,101137,0.9981,15.66,25.6,27.5
2016-03-27 10:14:25,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:14:26,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:27,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:14:28,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:14:29,101137,0.9981,15.66,25.6,27.5
2016-03-27 10:14:30,101131,0.9981,16.16,25.6,27.5
2016-03-27 10:14:31,101151,0.9983,14.50,25.5,27.5
2016-03-27 10:14:32,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:14:33,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:14:34,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:14:35,101140,0.9982,15.41,25.6,27.5
2016-03-27 10:14:36,101137,0.9981,15.66,25.6,27.5
2016-03-27 10:14:38,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:14:39,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:14:40,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:41,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:14:42,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:14:43,101145,0.9982,15.00,25.6,27.5
2016-03-27 10:14:44,101140,0.9982,15.41,25.6,27.5
2016-03-27 10:14:45,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:46,101145,0.9982,15.00,25.6,27.5
2016-03-27 10:14:47,101145,0.9982,15.00,25.6,27.5
2016-03-27 10:14:48,101142,0.9982,15.25,25.6,27.5
2016-03-27 10:14:49,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:50,101131,0.9981,16.16,25.5,27.5
2016-03-27 10:14:51,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:14:52,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:14:53,101140,0.9982,15.41,25.6,27.5
2016-03-27 10:14:54,101148,0.9983,14.74,25.6,27.5
2016-03-27 10:14:55,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:14:56,101142,0.9982,15.25,25.6,27.5
2016-03-27 10:14:57,101140,0.9982,15.41,25.5,27.5
2016-03-27 10:14:58,101148,0.9983,14.74,25.6,27.5
2016-03-27 10:14:59,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:15:00,101128,0.9981,16.41,25.5,27.5
2016-03-27 10:15:01,101140,0.9982,15.41,25.6,27.5
2016-03-27 10:15:03,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:15:04,101131,0.9981,16.16,25.5,27.5
2016-03-27 10:15:05,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:15:06,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:15:07,101145,0.9982,15.00,25.6,27.5
2016-03-27 10:15:08,101140,0.9982,15.41,25.6,27.5
2016-03-27 10:15:09,101151,0.9983,14.50,25.5,27.5
2016-03-27 10:15:10,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:15:11,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:15:12,101137,0.9981,15.66,25.5,27.5
2016-03-27 10:15:13,101142,0.9982,15.25,25.5,27.5
2016-03-27 10:15:14,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:15:15,101145,0.9982,15.00,25.5,27.5
2016-03-27 10:15:16,101122,0.9980,16.91,25.5,27.5
2016-03-27 10:15:17,101134,0.9981,15.91,25.5,27.5
2016-03-27 10:15:18,101142,0.9982,15.25,25.5,27.5
2016-03-27 10:15:19,101131,0.9981,16.16,25.5,27.5
2016-03-27 10:15:20,101137,0.9981,15.66,25.5,27.5
